countryiso3code,country_x,year,WDI_GDP_Growth,WDI_GDPpc,WDI_Investment,WDI_Inflation,WDI_PopGrowth,WDI_Trade,WGI_CC.EST,WGI_GE.EST,WGI_RQ.EST,WGI_RL.EST,WGI_VA.EST,WGI_PV.EST,WGI_GE.EST_01,WGI_RL.EST_01,WGI_RQ.EST_01,WGI_CC.EST_01,S4_raw,S4_trend,S4_diff,V_5y,PSAV_shock,FQ_z_equal_weight,z_FH,z_RSF,z_VDEM,sources_used,country_y
ARG,Argentina,2004,9.02957330068152,10302.4465316428,17.5512703642799,,1.01407652046238,40.692646108947,-0.414409548044205,0.015197392553091,-0.698035299777985,-0.767380177974701,0.362040877342224,-0.610934913158417,0.5030394785106183,0.3465239644050598,0.360392940044403,0.417118090391159,0.40676861833781,0.40676861833781,,,,0.5853175924016306,0.5617721362918233,,0.6088630485114379,2,Argentina
ARG,Argentina,2005,8.85165992013437,11099.7509190602,18.8882641376513,,1.02745772191722,40.5512709706238,-0.377738356590271,-0.0979790613055229,-0.525074362754822,-0.557991087436676,0.269231617450714,-0.0417749434709549,0.4804041877388954,0.3884017825126648,0.3949851274490356,0.4244523286819458,0.4220608565956354,0.4099233990469252,0.0152922382578254,,,0.6014290595108752,0.5905434771187293,,0.6123146419030211,2,Argentina
ARG,Argentina,2006,8.04715150043027,11870.2791559298,18.6804872364334,,1.02824760534561,40.4334798719151,-0.33123853802681,-0.0339163094758987,-0.61456698179245,-0.57701563835144,0.403436541557312,0.0019677628297358,0.4932167381048202,0.384596872329712,0.37708660364151,0.433752292394638,0.4221631266176701,0.4124484484068678,0.0001022700220346,,,0.5547844674364358,0.5161407756418582,,0.5934281592310134,2,Argentina
ARG,Argentina,2007,9.00765087504757,12811.9021206578,20.099113202908,,0.991101935066697,40.945170618571,-0.372122079133987,-0.0125325033441186,-0.635693550109863,-0.60147225856781,0.448621332645416,0.0977966338396072,0.4974934993311762,0.379705548286438,0.3728612899780274,0.4255755841732026,0.418908980442211,0.4137812527676219,-0.003254146175459,0.0098823836551234,,0.5457353819395487,0.5053020290581298,,0.5861687348209677,2,Argentina
ARG,Argentina,2008,4.05723310346406,13197.3570267029,19.5727758777106,,1.01288878477428,40.4026733790382,-0.434875011444092,-0.123509347438812,-0.702629446983337,-0.699731647968292,0.358895927667618,-0.0877556875348091,0.4752981305122376,0.3600536704063416,0.3594741106033326,0.4130249977111816,0.4019627273082733,0.4113430971817148,-0.0169462531339377,0.013239509376047,0.0,0.5514070797283203,0.5166997735338099,,0.5861143859228306,2,Argentina
ARG,Argentina,2009,-5.91852507634947,12285.3784651865,16.0531123592112,,1.05977470732485,34.0571269054879,-0.445475101470947,-0.294032037258148,-0.830836772918701,-0.694468080997467,0.280091494321823,-0.234854578971863,0.4411935925483704,0.3611063838005066,0.3338326454162598,0.4109049797058106,0.3867594003677368,0.4062714934596247,-0.0152033269405364,0.0130642198581499,0.0,0.5543405213699757,0.5330497851646279,,0.5756312575753235,2,Argentina
ARG,Argentina,2010,10.1253981561002,13387.1553748458,17.7055338062046,,1.05636332156278,34.9710132635696,-0.355230033397675,-0.1117919459939,-0.742940902709961,-0.59809422492981,0.361670136451721,-0.0847978666424751,0.47764161080122,0.380381155014038,0.3514118194580078,0.428953993320465,0.4095971446484326,0.4069575735506361,0.0228377442806958,0.0159641027978311,0.0,0.5369312294520656,0.526962932960094,,0.5468995259440371,2,Argentina
ARG,Argentina,2011,6.00395169280579,14040.6189124444,18.39845891735,,1.06474009749784,35.2061549999644,-0.364098519086838,-0.0723610669374466,-0.701964378356934,-0.563123285770416,0.344941824674606,0.158993661403656,0.4855277866125106,0.3873753428459168,0.3596071243286132,0.4271802961826324,0.4149226374924183,0.4086007620523288,0.0053254928439856,0.0163427706798664,0.0,0.5350024100942179,0.549237885072362,,0.5207669351160739,2,Argentina
ARG,Argentina,2012,-1.0264204544321,13754.4254235596,16.5019865298875,,1.0276613644946,30.5265423717108,-0.445909202098846,-0.206967011094093,-0.897686779499054,-0.623034238815308,0.295209914445877,0.103040546178818,0.4586065977811814,0.3753931522369383,0.3204626441001892,0.4108181595802308,0.391320138424635,0.4050357784872688,-0.0236024990677833,0.0191904221206354,0.0,0.5155962322275724,0.5213617116256333,,0.5098307528295116,2,Argentina
ARG,Argentina,2013,2.40532378079436,13946.0950832252,17.3057789012596,,0.992958989681133,29.3339290021037,-0.434306710958481,-0.254236966371536,-0.928134799003601,-0.656328618526459,0.276933550834656,0.0653142631053925,0.4491526067256928,0.3687342762947082,0.3143730401992798,0.4131386578083038,0.3863496452569962,0.4011808390304726,-0.0049704931676387,0.0181252219729091,0.0,0.1726372079975823,0.5263779155480468,-0.602130569267732,0.5936642777124321,3,Argentina
ARG,Argentina,2014,-2.51261532081394,13456.1319159151,17.2628810064651,,1.0317435786984,28.4067936452275,-0.549791395664215,-0.111114293336868,-1.0661495923996,-0.866627335548401,0.34527176618576,-0.0051218713633716,0.4777771413326264,0.3266745328903198,0.28677008152008,0.390041720867157,0.3703158691525458,0.3948134119791396,-0.0160337761044503,0.0182668499941746,0.0,0.1825751614546944,0.547695664527257,-0.6487927873560386,0.6488226071928648,3,Argentina
ARG,Argentina,2015,2.73115982828944,13679.6264980954,17.0707048841583,,1.04725888735726,22.4862260889792,-0.581265270709991,-0.0494756102561951,-0.898022353649139,-0.74863588809967,0.411758154630661,0.0087641347199678,0.490104877948761,0.350272822380066,0.3203955292701722,0.3837469458580018,0.3861300438642502,0.3930220377043515,0.0158141747117044,0.0158680006045386,0.0,0.16687803779296695,0.524142805990187,-0.6162781753130195,0.5927694827017334,3,Argentina
ARG,Argentina,2016,-2.08032784377811,13265.8860639123,17.6632278606203,,0.968911125580978,26.0938878488799,-0.299235552549362,0.218796372413635,-0.347571164369583,-0.320159524679184,0.49326366186142,0.197749897837639,0.543759274482727,0.4359680950641632,0.4304857671260834,0.4401528894901275,0.4625915065407753,0.4073741825328713,0.076461462676525,0.0402518475411935,0.0,0.15578611067237833,0.6447476619520125,-0.7597483699257027,0.5823590399908252,3,Argentina
ARG,Argentina,2017,2.81850297775918,13520.1129846159,18.2125671747754,,0.881249595012674,25.2896011376779,-0.309002459049225,0.135085612535477,-0.196430206298828,-0.237312033772469,0.528708100318909,0.162542164325714,0.5270171225070954,0.4525375932455062,0.4607139587402343,0.438199508190155,0.4696170456707477,0.4202148524594589,0.0070255391299724,0.0360607412505228,0.0,0.15878636232718457,0.6911491768690232,-0.7584557432083084,0.5436656533208389,3,Argentina
ARG,Argentina,2018,-2.61739646282038,13058.3285449954,16.6138850156371,34.2772237131003,0.822969480473088,30.7625359549926,-0.0992739275097847,0.0280606187880039,-0.195977628231049,-0.219330430030823,0.539252579212189,0.0069098123349249,0.5056121237576008,0.4561339139938353,0.4608044743537902,0.480145214498043,0.4756739316508174,0.4316560313260423,0.0060568859800696,0.0347987205673673,0.0,0.20802513781935225,0.7286246055904448,-0.6743712344595517,0.5698220423271636,3,Argentina
